Date,Medicine name,Opening stock,New stock,Stock out,Closing stock,Expiry date
11/01/2024,acyclosure p,11,20,,31,07/01/2025
12/01/2024,acyclosure p,31,0,11,20,
01/01/2025,acyclosure p,20,0,9,11,
01/31/2025,acyclosure p,11,20,9,22,01/15/2026
11/01/2024,amlokind h,15,0,,15,01/15/2026
12/01/2024,amlokind h,15,10,1,24,01/30/2026
01/01/2025,amlokind h,24,10,1,33,01/03/2026
01/31/2025,amlokind h,33,0,,33,
11/01/2024,amrox-ls,0,15,,15,08/12/2025
12/01/2024,amrox-ls,15,0,2,13,
01/01/2025,amrox-ls,13,0,2,11,
01/31/2025,amrox-ls,11,0,2,9,
11/01/2024,ascodex ls,17,0,,17,06/15/2025
12/01/2024,ascodex ls,17,0,1,16,
01/01/2025,ascodex ls,16,0,2,14,
01/31/2025,ascodex ls,14,30,1,43,04/09/2026
11/01/2024,AtoskyÃ‚Â GoldÃ‚Â 20,20,25,,45,01/21/2026
12/01/2024,AtoskyÃ‚Â GoldÃ‚Â 20,45,0,22,23,
01/01/2025,AtoskyÃ‚Â GoldÃ‚Â 20,23,0,19,4,
01/31/2025,AtoskyÃ‚Â GoldÃ‚Â 20,4,25,9,20,12/22/2025
11/01/2024,cheston-cold,5,0,,5,07/01/2025
12/01/2024,cheston-cold,5,20,18,7,09/10/2025
01/01/2025,cheston-cold,7,20,18,9,05/13/2026
01/31/2025,cheston-cold,9,40,16,33,12/08/2025
11/01/2024,cipla multivitamin ,9,10,,19,11/06/2025
12/01/2024,cipla multivitamin ,19,0,7,12,
01/01/2025,cipla multivitamin ,12,0,6,6,
01/31/2025,cipla multivitamin ,6,0,6,0,
11/01/2024,cipvildin-m,22,15,,37,05/20/2025
12/01/2024,cipvildin-m,37,0,4,33,
01/01/2025,cipvildin-m,33,0,4,29,
01/31/2025,cipvildin-m,29,15,4,40,01/07/2026
11/01/2024,citrasol,15,0,,15,06/24/2025
12/01/2024,citrasol,15,0,2,13,
01/01/2025,citrasol,13,0,2,11,
01/31/2025,citrasol,11,10,2,19,06/20/2026
11/01/2024,clavix gold 20,11,0,,11,02/16/2026
12/01/2024,clavix gold 20,11,0,4,7,
01/01/2025,clavix gold 20,7,0,6,1,
01/31/2025,clavix gold 20,1,10,1,10,06/19/2026
11/01/2024,clinkul acne face wash,12,25,,37,10/09/2025
12/01/2024,clinkul acne face wash,37,0,1,36,
01/01/2025,clinkul acne face wash,36,0,1,35,
01/31/2025,clinkul acne face wash,35,0,1,34,
11/01/2024,cosart-h,0,20,,20,06/12/2025
12/01/2024,cosart-h,20,0,4,16,
01/01/2025,cosart-h,16,0,6,10,
01/31/2025,cosart-h,10,20,4,26,09/29/2025
11/01/2024,cuflift ls,15,30,,45,01/24/2026
12/01/2024,cuflift ls,45,0,1,44,
01/01/2025,cuflift ls,44,0,2,42,
01/31/2025,cuflift ls,42,0,3,39,
11/01/2024,dailyglim pm 2,25,10,,35,07/18/2025
12/01/2024,dailyglim pm 2,35,0,6,29,
01/01/2025,dailyglim pm 2,29,0,7,22,
01/31/2025,dailyglim pm 2,22,10,5,27,01/01/2026
11/01/2024,dermikem oc,12,10,,22,10/07/2025
12/01/2024,dermikem oc,22,0,1,21,
01/01/2025,dermikem oc,21,0,1,20,
01/31/2025,dermikem oc,20,0,,20,
11/01/2024,diclo plus,12,0,,12,11/07/2025
12/01/2024,diclo plus,12,0,,12,
01/01/2025,diclo plus,12,0,1,11,
01/31/2025,diclo plus,11,0,2,9,
11/01/2024,dynaflex spray,16,0,,16,02/13/2026
12/01/2024,dynaflex spray,16,0,2,14,
01/01/2025,dynaflex spray,14,0,2,12,
01/31/2025,dynaflex spray,12,0,,12,
11/01/2024,esomifor dsr,14,10,,24,08/01/2025
12/01/2024,esomifor dsr,24,0,6,18,
01/01/2025,esomifor dsr,18,0,6,12,
01/31/2025,esomifor dsr,12,10,3,19,06/22/2026
11/01/2024,fenak plus,13,15,,28,11/14/2025
12/01/2024,fenak plus,28,0,1,27,
01/01/2025,fenak plus,27,15,4,38,05/02/2026
01/31/2025,fenak plus,38,0,1,37,
11/01/2024,festive dee,11,0,,11,07/17/2025
12/01/2024,festive dee,11,10,1,20,12/10/2025
01/01/2025,festive dee,20,0,2,18,
01/31/2025,festive dee,18,0,1,17,
11/01/2024,flexon,40,0,,40,08/01/2025
12/01/2024,flexon,40,0,8,32,
01/01/2025,flexon,32,0,8,24,
01/31/2025,flexon,24,10,8,26,10/11/2025
11/01/2024,gm-sr 2,25,25,,50,11/16/2025
12/01/2024,gm-sr 2,50,0,11,39,
01/01/2025,gm-sr 2,39,0,8,31,
01/31/2025,gm-sr 2,31,25,6,50,09/09/2025
11/01/2024,gripe water,10,0,,10,11/12/2025
12/01/2024,gripe water,10,0,3,7,
01/01/2025,gripe water,7,0,3,4,
01/31/2025,gripe water,4,15,4,15,03/17/2026
11/01/2024,hemoplus,19,0,,19,10/04/2025
12/01/2024,hemoplus,19,0,2,17,
01/01/2025,hemoplus,17,10,3,24,01/14/2026
01/31/2025,hemoplus,24,0,1,23,
11/01/2024,himalaya baby oil,13,0,,13,05/19/2025
12/01/2024,himalaya baby oil,13,0,2,11,
01/01/2025,himalaya baby oil,11,0,2,9,
01/31/2025,himalaya baby oil,9,0,4,5,
11/01/2024,himalaya face wash,11,0,,11,07/10/2025
12/01/2024,himalaya face wash,11,0,1,10,
01/01/2025,himalaya face wash,10,0,1,9,
01/31/2025,himalaya face wash,9,0,1,8,
11/01/2024,zandu balm,20,0,,20,12/14/2025
12/01/2024,zandu balm,20,0,5,15,
01/01/2025,zandu balm,15,10,4,21,01/02/2026
01/31/2025,zandu balm,21,0,3,18,
11/01/2024,liv 52,16,0,,16,12/16/2025
12/01/2024,liv 52,16,0,4,12,
01/01/2025,liv 52,12,15,4,23,04/15/2026
01/31/2025,liv 52,23,0,5,18,
11/01/2024,livetone,14,0,,14,02/10/2026
12/01/2024,livetone,14,0,2,12,
01/01/2025,livetone,12,0,1,11,
01/31/2025,livetone,11,10,1,20,01/28/2026
11/01/2024,luliconazole cream,0,10,,10,06/22/2025
12/01/2024,luliconazole cream,10,0,2,8,
01/01/2025,luliconazole cream,8,0,1,7,
01/31/2025,luliconazole cream,7,0,1,6,
11/01/2024,manforce xotic,30,0,,30,12/04/2025
12/01/2024,manforce xotic,30,0,5,25,
01/01/2025,manforce xotic,25,0,4,21,
01/31/2025,manforce xotic,21,15,4,32,01/29/2026
11/01/2024,Megaspas,16,0,,16,09/21/2025
12/01/2024,Megaspas,16,0,2,14,
01/01/2025,Megaspas,14,0,4,10,
01/31/2025,Megaspas,10,10,2,18,08/03/2025
11/01/2024,Metol xl-25 ,23,0,,23,05/09/2025
12/01/2024,Metol xl-25 ,23,30,25,28,08/19/2025
01/01/2025,Metol xl-25 ,28,60,26,62,01/15/2026
01/31/2025,Metol xl-25 ,62,0,9,53,
11/01/2024,montas-l,13,0,,13,06/07/2025
12/01/2024,montas-l,13,40,15,38,06/09/2025
01/01/2025,montas-l,38,0,14,24,
01/31/2025,montas-l,24,20,14,30,02/16/2026
11/01/2024,montecip LC,60,0,,60,04/24/2026
12/01/2024,montecip LC,60,0,3,57,
01/01/2025,montecip LC,57,0,3,54,
01/31/2025,montecip LC,54,0,3,51,
11/01/2024,muceder t,5,0,,5,10/21/2025
12/01/2024,muceder t,5,20,3,22,07/17/2025
01/01/2025,muceder t,22,0,,22,
01/31/2025,muceder t,22,0,,22,
11/01/2024,napaspeed d,10,0,,10,09/09/2025
12/01/2024,napaspeed d,10,10,1,19,09/27/2025
01/01/2025,napaspeed d,19,0,2,17,
01/31/2025,napaspeed d,17,0,1,16,
11/01/2024,neeri,7,15,,22,09/27/2025
12/01/2024,neeri,22,0,2,20,
01/01/2025,neeri,20,0,1,19,
01/31/2025,neeri,19,0,1,18,
11/01/2024,Nimos P,12,0,,12,01/11/2026
12/01/2024,Nimos P,12,0,1,11,
01/01/2025,Nimos P,11,0,1,10,
01/31/2025,Nimos P,10,0,,10,
11/01/2024,oflokem-200,17,0,,17,11/08/2025
12/01/2024,oflokem-200,17,0,1,16,
01/01/2025,oflokem-200,16,0,2,14,
01/31/2025,oflokem-200,14,0,1,13,
11/01/2024,omee ,14,0,,14,02/03/2026
12/01/2024,omee ,14,0,3,11,
01/01/2025,omee ,11,0,2,9,
01/31/2025,omee ,9,0,1,8,
11/01/2024,omniclav 625,25,0,,25,04/08/2026
12/01/2024,omniclav 625,25,0,1,24,
01/01/2025,omniclav 625,24,0,2,22,
01/31/2025,omniclav 625,22,10,4,28,03/31/2026
11/01/2024,orthomac gel,10,0,,10,09/11/2025
12/01/2024,orthomac gel,10,0,3,7,
01/01/2025,orthomac gel,7,15,3,19,11/02/2025
01/31/2025,orthomac gel,19,0,4,15,
11/01/2024,pantomac-dsr,19,0,,19,04/28/2026
12/01/2024,pantomac-dsr,19,20,14,25,07/18/2025
01/01/2025,pantomac-dsr,25,40,8,57,03/02/2026
01/31/2025,pantomac-dsr,57,0,12,45,
11/01/2024,pantosec ls,25,0,,25,06/03/2025
12/01/2024,pantosec ls,25,0,2,23,
01/01/2025,pantosec ls,23,0,2,21,
01/31/2025,pantosec ls,21,0,,21,
11/01/2024,pantosec-dsr,12,0,,12,12/13/2025
12/01/2024,pantosec-dsr,12,0,,12,
01/01/2025,pantosec-dsr,12,0,4,8,
01/31/2025,pantosec-dsr,8,10,4,14,03/23/2026
11/01/2024,pantozec l,14,0,,14,08/29/2025
12/01/2024,pantozec l,14,15,4,25,08/29/2025
01/01/2025,pantozec l,25,0,1,24,
01/31/2025,pantozec l,24,0,5,19,
11/01/2024,paracetamol,30,10,,40,12/17/2025
12/01/2024,paracetamol,40,0,8,32,
01/01/2025,paracetamol,32,0,6,26,
01/31/2025,paracetamol,26,0,6,20,
11/01/2024,pet sefa,14,0,,14,11/30/2025
12/01/2024,pet sefa,14,0,7,7,
01/01/2025,pet sefa,7,20,8,19,01/05/2026
01/31/2025,pet sefa,19,0,5,14,
11/01/2024,prega news,22,0,,22,11/02/2025
12/01/2024,prega news,22,0,4,18,
01/01/2025,prega news,18,10,4,24,01/16/2026
