date,Medicine Name,Medicine Type,Medicine Category,Pack Size,Sold Quantity,Selling Price,Total Sales Amount,Received Medicine Price per pack,profit per sold pack ,overall profit
11/01/2024,cheston-cold,tablet,generic,10,1,30,30,12.5,17.5,17.5
11/01/2024,montas-l,tablet,generic,10,1,80,80,28.5,51.5,51.5
11/01/2024,AtoskyÂ GoldÂ 20,Capsule,generic,10,3,60,180,29,31,93
11/01/2024,acyclosure p,tablet,generic,10,1,30,30,9.75,20.25,20.25
11/01/2024,pet sefa,powder,Ayurvedic,1,1,110,110,34.5,75.5,75.5
11/01/2024,remium gold,Capsule,generic,10,1,80,80,27.5,52.5,52.5
11/01/2024,Megaspas,tablet,generic,10,1,20,20,4.5,15.5,15.5
11/02/2024,Metol xl-25 ,tablet,generic,10,2,30,60,8.75,21.25,42.5
11/02/2024,remium gold,Capsule,generic,10,3,80,240,27.5,52.5,157.5
11/02/2024,acyclosure p,tablet,generic,10,1,30,30,9.75,20.25,20.25
11/02/2024,cheston-cold,tablet,generic,10,1,30,30,12.5,17.5,17.5
11/02/2024,montas-l,tablet,generic,10,1,80,80,28.5,51.5,51.5
11/02/2024,fenak plus,tablet,generic,10,1,10,10,3,7,7
11/02/2024,zandu baim,balm,Ayurvedic,1,1,40,40,17.5,22.5,22.5
11/02/2024,omee ,Syrup,generic,1,1,80,80,26.5,53.5,53.5
11/03/2024,prega news,kit,branded,1,1,50,50,17,33,33
11/03/2024,Nimos P,tablet,generic,10,1,20,20,3.75,16.25,16.25
11/03/2024,esomifor dsr,Capsule,generic,10,3,120,360,58.5,61.5,184.5
11/03/2024,clavix gold 20,Capsule,branded,15,2,110,220,53.75,56.25,112.5
11/04/2024,cheston-cold,tablet,generic,10,2,30,60,12.5,17.5,35
11/04/2024,acyclosure p,tablet,generic,10,1,30,30,9.75,20.25,20.25
11/04/2024,montecip LC,tablet,generic,10,1,80,80,24,56,56
11/04/2024,pantomac-dsr,Capsule,generic,10,1,90,90,28.75,61.25,61.25
11/04/2024,pet sefa,powder,Ayurvedic,1,1,110,110,34.5,75.5,75.5
11/04/2024,ascodex ls,Syrup,generic,1,1,90,90,37,53,53
11/04/2024,montas-l,tablet,generic,10,1,80,80,28.5,51.5,51.5
11/05/2024,oflokem-200,tablet,generic,10,1,50,50,12.33,37.67,37.67
11/05/2024,AtoskyÂ GoldÂ 20,Capsule,generic,10,3,60,180,29,31,93
11/05/2024,metol xl-25 ,tablet,generic,10,3,30,90,8.75,21.25,63.75
11/05/2024,acyclosure p,tablet,generic,10,1,30,30,9.75,20.25,20.25
11/05/2024,cheston-cold,tablet,generic,10,1,30,30,12.5,17.5,17.5
11/05/2024,montas-l,tablet,generic,10,1,80,80,28.5,51.5,51.5
